,primaryTitle,startYear,genres,averageRating,numVotes
1,The Dark Knight,2008.0,"Action,Crime,Drama",9.0,2281238
2,Inception,2010.0,"Action,Adventure,Sci-Fi",8.8,2044509
6,Game of Thrones,2011.0,"Action,Adventure,Drama",9.3,1740241
7,The Matrix,1999.0,"Action,Sci-Fi",8.7,1659581
8,The Lord of the Rings: The Fellowship of the Ring,2001.0,"Action,Adventure,Drama",8.8,1644281
9,The Lord of the Rings: The Return of the King,2003.0,"Action,Adventure,Drama",8.9,1627929
11,The Dark Knight Rises,2012.0,"Action,Adventure",8.4,1503351
13,The Lord of the Rings: The Two Towers,2002.0,"Action,Adventure,Drama",8.7,1471722
17,Gladiator,2000.0,"Action,Adventure,Drama",8.5,1329009
18,Batman Begins,2005.0,"Action,Adventure",8.2,1297334
21,The Avengers,2012.0,"Action,Adventure,Sci-Fi",8.0,1253066
23,Star Wars: Episode IV - A New Hope,1977.0,"Action,Adventure,Fantasy",8.6,1220415
28,Star Wars: Episode V - The Empire Strikes Back,1980.0,"Action,Adventure,Fantasy",8.7,1148492
33,Avatar,2009.0,"Action,Adventure,Fantasy",7.8,1112243
37,Guardians of the Galaxy,2014.0,"Action,Adventure,Comedy",8.0,1035489
39,Léon: The Professional,1994.0,"Action,Crime,Drama",8.5,1025329
40,V for Vendetta,2005.0,"Action,Drama,Sci-Fi",8.2,1025052
41,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,"Action,Adventure,Fantasy",8.0,1010026
43,Kill Bill: Vol. 1,2003.0,"Action,Crime,Thriller",8.1,992089
45,Terminator 2: Judgment Day,1991.0,"Action,Sci-Fi",8.5,988268
48,Star Wars: Episode VI - Return of the Jedi,1983.0,"Action,Adventure,Fantasy",8.3,941452
51,Iron Man,2008.0,"Action,Adventure,Sci-Fi",7.9,931949
59,Deadpool,2016.0,"Action,Adventure,Comedy",8.0,895180
62,Raiders of the Lost Ark,1981.0,"Action,Adventure",8.4,877296
63,Mad Max: Fury Road,2015.0,"Action,Adventure,Sci-Fi",8.1,872606
64,Jurassic Park,1993.0,"Action,Adventure,Sci-Fi",8.1,859872
65,Star Wars: Episode VII - The Force Awakens,2015.0,"Action,Adventure,Sci-Fi",7.9,854142
71,The Hunger Games,2012.0,"Action,Adventure,Sci-Fi",7.2,839890
72,Avengers: Infinity War,2018.0,"Action,Adventure,Sci-Fi",8.4,819599
77,The Terminator,1984.0,"Action,Sci-Fi",8.0,795539
80,Avengers: Endgame,2019.0,"Action,Adventure,Drama",8.4,788369
82,Die Hard,1988.0,"Action,Thriller",8.2,779593
92,Iron Man 3,2013.0,"Action,Adventure,Sci-Fi",7.1,749153
96,Avengers: Age of Ultron,2015.0,"Action,Adventure,Sci-Fi",7.3,733737
97,Captain America: The Winter Soldier,2014.0,"Action,Adventure,Sci-Fi",7.7,729382
98,300,2006.0,"Action,Drama",7.6,728950
106,Star Wars: Episode III - Revenge of the Sith,2005.0,"Action,Adventure,Fantasy",7.5,704614
109,The Revenant,2015.0,"Action,Adventure,Drama",8.0,697497
112,Blade Runner,1982.0,"Action,Sci-Fi,Thriller",8.1,688180
113,Indiana Jones and the Last Crusade,1989.0,"Action,Adventure",8.2,686939
114,Spider-Man,2002.0,"Action,Adventure,Sci-Fi",7.3,683262
115,I Am Legend,2007.0,"Action,Adventure,Drama",7.2,681941
117,Kill Bill: Vol. 2,2004.0,"Action,Crime,Thriller",8.0,678345
119,How to Train Your Dragon,2010.0,"Action,Adventure,Animation",8.1,660996
121,X-Men: Days of Future Past,2014.0,"Action,Adventure,Sci-Fi",7.9,656376
122,Captain America: Civil War,2016.0,"Action,Adventure,Sci-Fi",7.8,656093
123,The Incredibles,2004.0,"Action,Adventure,Animation",8.0,651527
124,Pirates of the Caribbean: Dead Man's Chest,2006.0,"Action,Adventure,Fantasy",7.3,651157
125,Aliens,1986.0,"Action,Adventure,Sci-Fi",8.3,648284
127,X-Men: First Class,2011.0,"Action,Adventure,Sci-Fi",7.7,642424
129,Logan,2017.0,"Action,Drama,Sci-Fi",8.1,640527
131,District 9,2009.0,"Action,Sci-Fi,Thriller",7.9,635471
137,Skyfall,2012.0,"Action,Adventure,Thriller",7.7,626838
139,Black Panther,2018.0,"Action,Adventure,Sci-Fi",7.3,617869
143,The Hunger Games: Catching Fire,2013.0,"Action,Adventure,Mystery",7.5,610090
