,primaryTitle,startYear,genres,averageRating,numVotes
44,WALL·E,2008.0,Adventure Animation Family,8.4,990047
49,Finding Nemo,2003.0,Adventure Animation Comedy,8.1,941412
50,The Lion King,1994.0,Adventure Animation Drama,8.5,932762
53,Up,2009.0,Adventure Animation Comedy,8.2,926135
61,Toy Story,1995.0,Adventure Animation Comedy,8.3,878917
75,Monsters  Inc.,2001.0,Adventure Animation Comedy,8.1,807826
90,Toy Story 3,2010.0,Adventure Animation Comedy,8.3,750659
119,How to Train Your Dragon,2010.0,Action Adventure Animation,8.1,660996
123,The Incredibles,2004.0,Action Adventure Animation,8.0,651527
128,Spirited Away,2001.0,Adventure Animation Family,8.6,642239
133,Ratatouille,2007.0,Adventure Animation Comedy,8.0,634735
144,Shrek,2001.0,Adventure Animation Comedy,7.8,608810
145,Inside Out,2015.0,Adventure Animation Comedy,8.1,605288
168,Frozen,2013.0,Adventure Animation Comedy,7.4,567892
190,Toy Story 2,1999.0,Adventure Animation Comedy,7.9,522725
215,Despicable Me,2010.0,Animation Comedy Crime,7.6,497055
256,Ice Age,2002.0,Adventure Animation Comedy,7.5,438192
267,Zootopia,2016.0,Adventure Animation Comedy,8.0,428992
283,Shrek 2,2004.0,Adventure Animation Comedy,7.2,416228
284,Kung Fu Panda,2008.0,Action Adventure Animation,7.5,415964
286,Beauty and the Beast,1991.0,Animation Family Fantasy,8.0,414858
291,Big Hero 6,2014.0,Action Adventure Animation,7.8,407073
297,Tangled,2010.0,Adventure Animation Comedy,7.7,402254
316,Wreck-It Ralph,2012.0,Adventure Animation Comedy,7.7,376774
321,Aladdin,1992.0,Adventure Animation Comedy,8.0,371300
323,Coco,2017.0,Adventure Animation Family,8.4,369806
324,Brave,2012.0,Adventure Animation Comedy,7.1,369567
329,Despicable Me 2,2013.0,Adventure Animation Comedy,7.3,367316
333,Rick and Morty,2013.0,Adventure Animation Comedy,9.2,366038
336,Cars,2006.0,Animation Comedy Family,7.1,364552
339,Spider-Man: Into the Spider-Verse,2018.0,Action Adventure Animation,8.4,363079
342,The Simpsons,1989.0,Animation Comedy,8.7,361750
371,Princess Mononoke,1997.0,Adventure Animation Fantasy,8.4,338810
387,Howl's Moving Castle,2004.0,Adventure Animation Family,8.2,328644
389,South Park,1997.0,Animation Comedy,8.7,328409
394,The Lego Movie,2014.0,Action Adventure Animation,7.7,322328
399,Monsters University,2013.0,Adventure Animation Comedy,7.3,319054
418,The Simpsons Movie,2007.0,Adventure Animation Comedy,7.3,307558
422,How to Train Your Dragon 2,2014.0,Action Adventure Animation,7.8,302824
424,Family Guy,1999.0,Animation Comedy,8.1,302216
430,The Nightmare Before Christmas,1993.0,Animation Family Fantasy,8.0,296525
448,My Neighbor Totoro,1988.0,Animation Family Fantasy,8.2,286586
482,Moana,2016.0,Adventure Animation Comedy,7.6,268106
490,A Bug's Life,1998.0,Adventure Animation Comedy,7.2,264594
500,Mulan,1998.0,Adventure Animation Family,7.6,253947
507,Kung Fu Panda 2,2011.0,Action Adventure Animation,7.2,251477
518,Incredibles 2,2018.0,Action Adventure Animation,7.6,245670
524,Corpse Bride,2005.0,Animation Drama Family,7.3,243408
532,Avatar: The Last Airbender,2005.0,Action Adventure Animation,9.2,241138
540,Finding Dory,2016.0,Adventure Animation Comedy,7.3,237738
547,The Little Mermaid,1989.0,Animation Family Fantasy,7.6,235647
553,Rango,2011.0,Adventure Animation Comedy,7.2,234593
563,Grave of the Fireflies,1988.0,Animation Drama War,8.5,231831
571,Death Note,2006.0,Animation Crime Drama,9.0,228109
579,Megamind,2010.0,Action Animation Comedy,7.2,226552
595,Hotel Transylvania,2012.0,Animation Comedy Family,7.1,222668
612,The Adventures of Tintin,2011.0,Action Adventure Animation,7.3,215369
630,Futurama,1999.0,Animation Comedy Sci-Fi,8.4,211475
651,Hercules,1997.0,Adventure Animation Comedy,7.3,204236
653,Tarzan,1999.0,Adventure Animation Family,7.3,202122
668,Toy Story 4,2019.0,Adventure Animation Comedy,7.8,197479
671,Fantastic Mr. Fox,2009.0,Adventure Animation Comedy,7.9,196766
674,Coraline,2009.0,Animation Drama Family,7.7,196044
685,South Park: Bigger  Longer & Uncut,1999.0,Animation Comedy Fantasy,7.7,191399
689,The Croods,2013.0,Adventure Animation Comedy,7.2,189631
691,Your Name.,2016.0,Animation Drama Fantasy,8.4,189077
711,Who Framed Roger Rabbit,1988.0,Adventure Animation Comedy,7.7,180829
723,The Emperor's New Groove,2000.0,Adventure Animation Comedy,7.4,178527
748,The Iron Giant,1999.0,Action Adventure Animation,8.0,170748
765,Lilo & Stitch,2002.0,Adventure Animation Comedy,7.2,166885
779,Mary and Max,2009.0,Animation Comedy Drama,8.1,163289
780,Akira,1988.0,Action Animation Sci-Fi,8.0,163179
795,Attack on Titan,2013.0,Action Adventure Animation,8.8,158454
804,Rise of the Guardians,2012.0,Action Adventure Animation,7.3,155576
828,Nausicaä of the Valley of the Wind,1984.0,Adventure Animation Fantasy,8.1,148870
829,Castle in the Sky,1986.0,Adventure Animation Drama,8.0,148407
887,Isle of Dogs,2018.0,Adventure Animation Comedy,7.9,136567
893,Archer,2009.0,Action Animation Comedy,8.6,136219
907,Kung Fu Panda 3,2016.0,Action Adventure Animation,7.1,132769
908,9,2009.0,Action Adventure Animation,7.1,132679
909,Sing,2016.0,Animation Comedy Family,7.1,132409
921,The Lego Batman Movie,2017.0,Action Animation Comedy,7.3,130215
929,Ralph Breaks the Internet,2018.0,Adventure Animation Comedy,7.1,128816
933,Ghost in the Shell,1995.0,Action Animation Crime,8.0,127899
955,Wallace & Gromit: The Curse of the Were-Rabbit,2005.0,Adventure Animation Comedy,7.4,124737
961,Ponyo,2008.0,Adventure Animation Comedy,7.7,123390
967,The Princess and the Frog,2009.0,Adventure Animation Comedy,7.1,123032
974,Kiki's Delivery Service,1989.0,Adventure Animation Drama,7.8,121971
996,The Prince of Egypt,1998.0,Adventure Animation Drama,7.1,117657
1002,Kubo and the Two Strings,2016.0,Action Adventure Animation,7.8,116977
1005,American Dad!,2005.0,Animation Comedy,7.3,115800
1014,Fullmetal Alchemist: Brotherhood,2009.0,Action Adventure Animation,9.1,114888
1016,Robin Hood,1973.0,Adventure Animation Comedy,7.6,114711
1032,One Punch Man,2015.0,Action Animation Comedy,8.8,111605
1033,Dragon Ball Z,1996.0,Action Adventure Animation,8.7,111600
1037,Anastasia,1997.0,Adventure Animation Drama,7.2,111011
1056,BoJack Horseman,2014.0,Animation Comedy Drama,8.7,108864
1072,A Scanner Darkly,2006.0,Animation Crime Drama,7.1,106073
1101,How to Train Your Dragon: The Hidden World,2019.0,Action Adventure Animation,7.5,101722
1102,Treasure Planet,2002.0,Adventure Animation Family,7.2,101615
1116,The Legend of Korra,2012.0,Action Adventure Animation,8.4,100442
1165,Love  Death & Robots,2019.0,Animation Comedy Fantasy,8.5,93485
1188,Onward,2020.0,Adventure Animation Comedy,7.4,90421
1208,Persepolis,2007.0,Animation Biography Drama,8.0,88074
1213,Cowboy Bebop,1998.0,Action Adventure Animation,8.9,87629
1224,Klaus,2019.0,Adventure Animation Comedy,8.2,86743
1227,Batman: The Animated Series,1992.0,Action Adventure Animation,9.0,86014
1250,The Fox and the Hound,1981.0,Adventure Animation Drama,7.3,84152
1271,SpongeBob SquarePants,1999.0,Animation Comedy Family,8.1,82447
1304,The Secret World of Arrietty,2010.0,Adventure Animation Family,7.6,79777
1305,Naruto: Shippûden,2007.0,Action Adventure Animation,8.6,79657
1308,The Land Before Time,1988.0,Adventure Animation Drama,7.4,79438
1315,The SpongeBob SquarePants Movie,2004.0,Action Adventure Animation,7.1,78547
1334,Porco Rosso,1992.0,Adventure Animation Comedy,7.7,76514
1343,Adventure Time,2010.0,Action Adventure Animation,8.6,75550
1379,The Wind Rises,2013.0,Animation Biography Drama,7.8,72422
1393,Gravity Falls,2012.0,Adventure Animation Comedy,8.9,71138
1402,Paprika,2006.0,Animation Drama Fantasy,7.7,70282
1419,Naruto,2002.0,Action Adventure Animation,8.3,68094
1428,Dragon Ball Z,1989.0,Action Adventure Animation,8.7,67361
1454,Anomalisa,2015.0,Animation Comedy Drama,7.3,65675
1463,One Piece,1999.0,Action Adventure Animation,8.7,65008
1467,Spirit: Stallion of the Cimarron,2002.0,Adventure Animation Drama,7.2,64797
1469,Bob's Burgers,2011.0,Animation Comedy,8.1,64700
1481,The Book of Life,2014.0,Adventure Animation Comedy,7.3,64016
1519,Fullmetal Alchemist,2003.0,Action Adventure Animation,8.5,61218
1531,Waking Life,2001.0,Animation Drama Fantasy,7.8,60429
1536,The Girl Who Leapt Through Time,2006.0,Adventure Animation Comedy,7.7,59802
1551,Star Wars: The Clone Wars,2008.0,Action Adventure Animation,8.2,58435
1577,Perfect Blue,1997.0,Animation Crime Mystery,8.0,56817
1589,The Little Prince,2015.0,Adventure Animation Drama,7.7,56176
1612,Final Fantasy VII: Advent Children,2005.0,Action Adventure Animation,7.2,54828
1613,Waltz with Bashir,2008.0,Animation Biography Documentary,8.0,54826
1628,Big Mouth,2017.0,Animation Comedy Romance,8.0,53682
1649,Dragon Ball,1995.0,Action Adventure Animation,8.5,52624
1658,Hunter x Hunter,2011.0,Action Adventure Animation,8.9,52391
1692,Whisper of the Heart,1995.0,Animation Drama Family,7.9,50907
1693,Arthur Christmas,2011.0,Adventure Animation Comedy,7.1,50881
1698,The Wrong Trousers,1993.0,Animation Comedy Crime,8.3,50617
1699,Song of the Sea,2014.0,Adventure Animation Drama,8.1,50599
1705,5 Centimeters Per Second,2007.0,Animation Drama Family,7.6,50505
1713,The Triplets of Belleville,2003.0,Animation Comedy Drama,7.8,50364
1721,Loving Vincent,2017.0,Animation Biography Crime,7.8,49993
1735,Neon Genesis Evangelion,1995.0,Action Animation Drama,8.5,49134
1741,Code Geass,2006.0,Action Animation Drama,8.6,48911
