,primaryTitle,startYear,genres,averageRating,numVotes
0,Schindler's List,1993.0,Biography Drama History,8.9,1202727
1,The Wolf of Wall Street,2013.0,Biography Crime Drama,8.2,1167697
2,Goodfellas,1990.0,Biography Crime Drama,8.7,1009746
3,Braveheart,1995.0,Biography Drama History,8.3,952663
4,A Beautiful Mind,2001.0,Biography Drama,8.2,841063
5,Catch Me If You Can,2002.0,Biography Crime Drama,8.1,818805
6,The Intouchables,2011.0,Biography Comedy Drama,8.5,750332
7,The Pianist,2002.0,Biography Drama Music,8.5,721711
8,The Imitation Game,2014.0,Biography Drama Thriller,8.0,678678
9,The King's Speech,2010.0,Biography Drama History,8.0,635160
10,12 Years a Slave,2013.0,Biography Drama History,8.1,634538
11,The Social Network,2010.0,Biography Drama,7.7,619186
12,Argo,2012.0,Biography Drama Thriller,7.7,568946
13,Into the Wild,2007.0,Adventure Biography Drama,8.1,567857
14,The Pursuit of Happyness,2006.0,Biography Drama,8.0,444488
15,Bohemian Rhapsody,2018.0,Biography Drama Music,8.0,443689
16,Dallas Buyers Club,2013.0,Biography Drama,8.0,437205
17,American Sniper,2014.0,Action Biography Drama,7.3,436027
18,Rush,2013.0,Action Biography Drama,8.1,429357
19,Hacksaw Ridge,2016.0,Biography Drama History,8.1,429301
20,Captain Phillips,2013.0,Adventure Biography Crime,7.8,417535
21,Spotlight,2015.0,Biography Crime Drama,8.1,415395
22,The Theory of Everything,2014.0,Biography Drama Romance,7.7,399783
23,American Gangster,2007.0,Biography Crime Drama,7.8,389108
24,Amadeus,1984.0,Biography Drama History,8.3,366242
25,Moneyball,2011.0,Biography Drama Sport,7.6,365306
26,Green Book,2018.0,Biography Comedy Drama,8.2,362420
27,The Big Short,2015.0,Biography Comedy Drama,7.8,357359
28,Narcos,2015.0,Biography Crime Drama,8.8,349844
29,127 Hours,2010.0,Biography Drama,7.5,345833
30,The Fighter,2010.0,Biography Drama Sport,7.8,338150
31,Hotel Rwanda,2004.0,Biography Drama History,8.1,332471
32,The Aviator,2004.0,Biography Drama,7.5,331581
33,Downfall,2004.0,Biography Drama History,8.2,329027
34,Raging Bull,1980.0,Biography Drama Sport,8.2,319139
35,The Irishman,2019.0,Biography Crime Drama,7.9,317241
36,The Blind Side,2009.0,Biography Drama Sport,7.6,290434
37,Ford v Ferrari,2019.0,Action Biography Drama,8.1,279264
38,Donnie Brasco,1997.0,Biography Crime Drama,7.7,276599
39,Lone Survivor,2013.0,Action Biography Drama,7.5,264547
40,Hachi: A Dog's Tale,2009.0,Biography Drama Family,8.1,250609
41,Lincoln,2012.0,Biography Drama History,7.3,243153
42,Blow,2001.0,Biography Crime Drama,7.6,239234
43,Changeling,2008.0,Biography Crime Drama,7.7,237735
44,Sully,2016.0,Biography Drama,7.4,234695
45,Dog Day Afternoon,1975.0,Biography Crime Drama,8.0,234004
46,The Greatest Showman,2017.0,Biography Drama Musical,7.6,233664
47,Walk the Line,2005.0,Biography Drama Music,7.8,232552
48,Spartacus,2010.0,Action Adventure Biography,8.5,221138
49,BlacKkKlansman,2018.0,Biography Comedy Crime,7.5,218200
50,The Elephant Man,1980.0,Biography Drama,8.1,218148
51,Gandhi,1982.0,Biography Drama History,8.0,216795
52,Lion,2016.0,Biography Drama,8.0,211275
53,Ip Man,2008.0,Action Biography Drama,8.0,210228
54,Hidden Figures,2016.0,Biography Drama History,7.8,197860
55,Finding Neverland,2004.0,Biography Drama Family,7.7,197833
56,Remember the Titans,2000.0,Biography Drama Sport,7.8,196674
57,Everest,2015.0,Action Adventure Biography,7.1,195533
58,I  Tonya,2017.0,Biography Comedy Drama,7.5,178878
59,Straight Outta Compton,2015.0,Biography Drama History,7.8,178092
60,War Dogs,2016.0,Biography Comedy Crime,7.1,175669
61,Cinderella Man,2005.0,Biography Drama History,8.0,175128
62,The Last King of Scotland,2006.0,Biography Drama History,7.7,174447
63,Erin Brockovich,2000.0,Biography Drama,7.3,173150
64,Darkest Hour,2017.0,Biography Drama History,7.4,169972
65,The Favourite,2018.0,Biography Comedy Drama,7.5,169286
66,The Assassination of Jesse James by the Coward Robert Ford,2007.0,Biography Crime Drama,7.5,168027
67,First Man,2018.0,Biography Drama History,7.3,165750
68,Ed Wood,1994.0,Biography Comedy Drama,7.8,164352
69,Milk,2008.0,Biography Drama,7.5,163794
70,Girl  Interrupted,1999.0,Biography Drama,7.3,163081
71,The Danish Girl,2015.0,Biography Drama Romance,7.1,162485
72,The Insider,1999.0,Biography Drama Thriller,7.8,158903
73,In the Name of the Father,1993.0,Biography Crime Drama,8.1,155512
74,Dangal,2016.0,Action Biography Drama,8.4,153462
75,Steve Jobs,2015.0,Biography Drama,7.2,153064
76,Saving Mr. Banks,2013.0,Biography Comedy Drama,7.5,150789
77,Invictus,2009.0,Biography Drama History,7.3,149064
78,Unbroken,2014.0,Action Biography Drama,7.2,147625
79,Molly's Game,2017.0,Biography Crime Drama,7.4,139688
80,Ray,2004.0,Biography Drama Music,7.7,137522
81,The Disaster Artist,2017.0,Biography Comedy Drama,7.4,136520
82,Snowden,2016.0,Biography Crime Drama,7.3,136275
83,Monster,2003.0,Biography Crime Drama,7.3,135252
84,The Crown,2016.0,Biography Drama History,8.7,135241
85,Rocketman,2019.0,Biography Drama Music,7.3,131697
86,Seven Years in Tibet,1997.0,Adventure Biography Drama,7.1,127780
87,Coach Carter,2005.0,Biography Drama Sport,7.3,126615
88,Spartacus: Gods of the Arena,2011.0,Action Adventure Biography,8.5,125825
89,Tombstone,1993.0,Action Biography Drama,7.8,125641
90,Good Morning  Vietnam,1987.0,Biography Comedy Drama,7.3,125159
91,Capote,2005.0,Biography Crime Drama,7.3,124643
92,Man on the Moon,1999.0,Biography Comedy Drama,7.4,123511
93,Awakenings,1990.0,Biography Drama,7.8,123310
94,The Founder,2016.0,Biography Drama,7.2,122890
95,Glory,1989.0,Biography Drama History,7.8,121589
96,Papillon,1973.0,Biography Crime Drama,8.0,120914
97,Escape from Alcatraz,1979.0,Action Biography Crime,7.6,120115
98,Wild,2014.0,Biography Drama,7.1,119595
99,Bronson,2008.0,Action Biography Crime,7.1,119524
100,The Walk,2015.0,Action Adventure Biography,7.3,119082
101,Vice,2018.0,Biography Comedy Drama,7.2,119066
102,Serpico,1973.0,Biography Crime Drama,7.7,108823
103,Lee Daniels' The Butler,2013.0,Biography Drama,7.2,107967
104,Men of Honor,2000.0,Biography Drama,7.2,106554
105,The Two Popes,2019.0,Biography Comedy Drama,7.6,103712
106,The Queen,2006.0,Biography Drama History,7.3,103703
107,The Diving Bell and the Butterfly,2007.0,Biography Drama,8.0,102794
108,Frost/Nixon,2008.0,Biography Drama History,7.7,102708
109,All the President's Men,1976.0,Biography Drama History,8.0,101767
110,The Basketball Diaries,1995.0,Biography Crime Drama,7.3,101310
111,Rescue Dawn,2006.0,Action Biography Drama,7.3,100627
112,Born on the Fourth of July,1989.0,Biography Drama War,7.2,97761
