,titleType,primaryTitle,startYear,genres,averageRating,numVotes
0,movie,"Good Morning, Vietnam",1987.0,Biography Comedy Drama,7.3,125159
1,movie,Escape from New York,1981.0,Action Adventure Sci-Fi,7.2,125142
2,movie,Miller's Crossing,1990.0,Crime Drama Thriller,7.7,125139
3,movie,Boyz n the Hood,1991.0,Crime Drama,7.8,124855
5,movie,Wallace & Gromit: The Curse of the Were-Rabbit,2005.0,Adventure Animation Comedy,7.4,124737
7,movie,Capote,2005.0,Biography Crime Drama,7.3,124643
8,movie,The Hours,2002.0,Drama Romance,7.5,123684
9,movie,Man on the Moon,1999.0,Biography Comedy Drama,7.4,123511
10,movie,Sicario: Day of the Soldado,2018.0,Action Adventure Crime,7.1,123498
11,movie,Ponyo,2008.0,Adventure Animation Comedy,7.7,123390
12,movie,Awakenings,1990.0,Biography Drama,7.8,123310
13,movie,The Lost Boys,1987.0,Comedy Horror,7.3,123308
14,movie,Labyrinth,1986.0,Adventure Family Fantasy,7.4,123181
15,movie,Matchstick Men,2003.0,Comedy Crime Drama,7.3,123172
16,movie,"Planes, Trains & Automobiles",1987.0,Comedy Drama,7.6,123109
17,movie,The Princess and the Frog,2009.0,Adventure Animation Comedy,7.1,123032
18,movie,The Founder,2016.0,Biography Drama,7.2,122890
19,movie,John Q,2002.0,Crime Drama Thriller,7.1,122823
20,movie,Big Trouble in Little China,1986.0,Action Adventure Comedy,7.3,122627
21,movie,In the Mood for Love,2000.0,Drama Romance,8.1,122518
22,movie,Me and Earl and the Dying Girl,2015.0,Comedy Drama,7.7,122326
23,movie,About Schmidt,2002.0,Comedy Drama,7.1,121978
24,movie,Kiki's Delivery Service,1989.0,Adventure Animation Drama,7.8,121971
25,movie,Glory,1989.0,Biography Drama History,7.8,121589
26,movie,Highlander,1986.0,Action Adventure Fantasy,7.1,121139
27,movie,Doubt,2008.0,Drama Mystery,7.5,121128
28,movie,Papillon,1973.0,Biography Crime Drama,8.0,120914
29,movie,Pleasantville,1998.0,Comedy Drama Fantasy,7.5,120763
30,movie,"Love, Rosie",2014.0,Comedy Romance,7.2,120762
32,movie,Escape from Alcatraz,1979.0,Action Biography Crime,7.6,120115
34,movie,The Big Sick,2017.0,Comedy Drama Romance,7.5,119858
35,movie,The Ballad of Buster Scruggs,2018.0,Comedy Drama Musical,7.3,119836
37,movie,Wild,2014.0,Biography Drama,7.1,119595
38,movie,Bronson,2008.0,Action Biography Crime,7.1,119524
39,movie,Tremors,1990.0,Comedy Horror,7.1,119431
41,movie,The Walk,2015.0,Action Adventure Biography,7.3,119082
42,movie,Vice,2018.0,Biography Comedy Drama,7.2,119066
43,movie,Irréversible,2002.0,Crime Drama Mystery,7.4,119030
44,movie,Carnage,2011.0,Comedy Drama,7.2,118760
46,movie,The Prince of Egypt,1998.0,Adventure Animation Drama,7.1,117657
47,movie,13 Hours,2016.0,Action Drama History,7.3,117540
50,movie,Infernal Affairs,2002.0,Action Crime Drama,8.0,117352
51,movie,Star Trek: First Contact,1996.0,Action Adventure Drama,7.6,117323
52,movie,Kubo and the Two Strings,2016.0,Action Adventure Animation,7.8,116977
54,movie,Margin Call,2011.0,Drama Thriller,7.1,115955
56,movie,The Phantom of the Opera,2004.0,Drama Musical Romance,7.2,115766
58,movie,Mallrats,1995.0,Comedy Romance,7.1,115602
61,movie,Stalker,1979.0,Drama Sci-Fi,8.2,115299
62,movie,Y Tu Mamá También,2001.0,Drama,7.6,115150
63,movie,This Is England,2006.0,Crime Drama,7.7,115129
65,movie,Empire of the Sun,1987.0,Action Drama History,7.7,114747
66,movie,Robin Hood,1973.0,Adventure Animation Comedy,7.6,114711
67,movie,I Origins,2014.0,Drama Mystery Romance,7.4,114653
68,movie,Carol,2015.0,Drama Romance,7.2,114464
71,movie,Leaving Las Vegas,1995.0,Drama Romance,7.5,113840
72,movie,The Raid 2,2014.0,Action Crime Thriller,8.0,113628
73,movie,The Meaning of Life,1983.0,Comedy Musical,7.5,113316
74,movie,Let Me In,2010.0,Drama Fantasy Horror,7.1,113127
75,movie,Ghost World,2001.0,Comedy Drama,7.3,112607
76,movie,T2 Trainspotting,2017.0,Drama,7.2,112506
77,movie,Barton Fink,1991.0,Comedy Drama Thriller,7.7,112457
78,movie,Pay It Forward,2000.0,Drama,7.2,112323
79,movie,Star Trek II: The Wrath of Khan,1982.0,Action Adventure Sci-Fi,7.7,112038
81,movie,Nebraska,2013.0,Adventure Comedy Drama,7.7,111732
84,movie,Ran,1985.0,Action Drama War,8.2,111364
85,movie,National Lampoon's Animal House,1978.0,Comedy,7.5,111249
87,movie,Anastasia,1997.0,Adventure Animation Drama,7.2,111011
88,movie,Rang De Basanti,2006.0,Comedy Crime Drama,8.2,110966
89,movie,Dawn of the Dead,1978.0,Action Adventure Horror,7.9,110956
91,movie,Brothers,2009.0,Action Drama Thriller,7.1,110764
92,movie,The Handmaiden,2016.0,Drama Romance Thriller,8.1,110363
93,movie,The Dreamers,2003.0,Drama Romance,7.2,110216
94,movie,Once,2007.0,Drama Music Romance,7.8,110140
96,movie,Phantom Thread,2017.0,Drama Romance,7.5,110100
