,titleType,primaryTitle,startYear,genres,averageRating,numVotes
6,movie,The Hours,2002.0,Drama Romance,7.5,123684
9,movie,Ponyo,2008.0,Adventure Animation Comedy,7.7,123390
20,movie,Me and Earl and the Dying Girl,2015.0,Comedy Drama,7.7,122326
25,movie,Doubt,2008.0,Drama Mystery,7.5,121128
30,movie,The Big Sick,2017.0,Comedy Drama Romance,7.5,119858
41,movie,Infernal Affairs,2002.0,Action Crime Drama,8.0,117352
43,movie,Kubo and the Two Strings,2016.0,Action Adventure Animation,7.8,116977
48,movie,Y Tu Mamá También,2001.0,Drama,7.6,115150
49,movie,This Is England,2006.0,Crime Drama,7.7,115129
55,movie,The Raid 2,2014.0,Action Crime Thriller,8.0,113628
63,movie,Nebraska,2013.0,Adventure Comedy Drama,7.7,111732
67,movie,Rang De Basanti,2006.0,Comedy Crime Drama,8.2,110966
70,movie,The Handmaiden,2016.0,Drama Romance Thriller,8.1,110363
72,movie,Once,2007.0,Drama Music Romance,7.8,110140
73,movie,Phantom Thread,2017.0,Drama Romance,7.5,110100
74,movie,I Saw the Devil,2010.0,Action Crime Drama,7.8,109680
76,movie,The Life of David Gale,2003.0,Crime Drama Thriller,7.6,109269
80,movie,Hunt for the Wilderpeople,2016.0,Adventure Comedy Drama,7.9,109068
81,movie,Dil Bechara,2020.0,Comedy Drama Romance,7.9,108861
86,movie,House of Flying Daggers,2004.0,Action Adventure Drama,7.5,107358
87,movie,The Best Offer,2013.0,Crime Drama Mystery,7.8,107225
90,movie,The Fall,2006.0,Adventure Drama Fantasy,7.9,106848
97,movie,A Single Man,2009.0,Drama Romance,7.6,105376
99,movie,Little Children,2006.0,Drama Romance,7.5,105080
101,movie,The Mountain II,2016.0,Action Drama War,8.8,104621
103,movie,Lagaan: Once Upon a Time in India,2001.0,Adventure Drama Musical,8.1,104205
104,movie,Talk to Her,2002.0,Drama Mystery Romance,7.9,104075
105,movie,The Two Popes,2019.0,Biography Comedy Drama,7.6,103712
108,movie,The Man Who Wasn't There,2001.0,Crime Drama,7.5,103450
110,movie,August Rush,2007.0,Drama Music,7.5,103049
112,movie,The Diving Bell and the Butterfly,2007.0,Biography Drama,8.0,102794
113,movie,Frost/Nixon,2008.0,Biography Drama History,7.7,102708
114,movie,The Wave,2008.0,Drama Thriller,7.6,102083
115,movie,Baahubali: The Beginning,2015.0,Action Drama,8.0,101896
119,movie,How to Train Your Dragon: The Hidden World,2019.0,Action Adventure Animation,7.5,101722
136,movie,Gifted,2017.0,Drama,7.6,98369
140,movie,United 93,2006.0,Action Drama History,7.5,98011
143,movie,My Name Is Khan,2010.0,Drama,8.0,97832
145,movie,Elite Squad,2007.0,Action Crime Drama,8.1,97592
148,movie,Ip Man 2,2010.0,Action Biography Drama,7.5,97099
151,movie,"Love, Simon",2018.0,Comedy Drama Romance,7.6,96877
153,movie,Jo Nesbø's Headhunters,2011.0,Action Crime Thriller,7.5,96412
154,movie,The Motorcycle Diaries,2004.0,Adventure Biography Drama,7.8,96209
162,movie,Volver,2006.0,Comedy Drama,7.6,94265
165,movie,Philomena,2013.0,Biography Comedy Drama,7.6,93671
167,movie,The Florida Project,2017.0,Drama,7.6,93310
170,movie,A Prophet,2009.0,Crime Drama,7.9,92990
174,movie,Amour,2012.0,Drama Romance,7.9,92406
182,movie,The Experiment,2001.0,Drama Thriller,7.7,90553
196,movie,The Painted Veil,2006.0,Drama Romance,7.5,88729
200,movie,Persepolis,2007.0,Animation Biography Drama,8.0,88074
211,movie,Klaus,2019.0,Adventure Animation Comedy,8.2,86743
215,movie,Biutiful,2010.0,Drama Romance,7.5,85739
