,primaryTitle,startYear,genres,averageRating
0,Forrest Gump,1994,Drama Romance,8.8
1,Titanic,1997,Drama Romance,7.8
2,Eternal Sunshine of the Spotless Mind,2004,Drama Romance Sci-Fi,8.3
3,Good Will Hunting,1997,Drama Romance,8.3
4,Friends,1994,Comedy Romance,8.9
5,Slumdog Millionaire,2008,Drama Romance,8.0
6,The Big Bang Theory,2007,Comedy Romance,8.1
7,Amélie,2001,Comedy Romance,8.3
8,Silver Linings Playbook,2012,Comedy Drama Romance,7.7
9,Life Is Beautiful,1997,Comedy Drama Romance,8.6
10,How I Met Your Mother,2005,Comedy Romance,8.3
11,The Curious Case of Benjamin Button,2008,Drama Fantasy Romance,7.8
12,Groundhog Day,1993,Comedy Fantasy Romance,8.0
13,Her,2013,Drama Romance Sci-Fi,8.0
14,Cast Away,2000,Adventure Drama Romance,7.8
15,The Notebook,2004,Drama Romance,7.8
16,The Great Gatsby,2013,Drama Romance,7.2
17,500 Days of Summer,2009,Comedy Drama Romance,7.7
18,"Crazy, Stupid, Love",2011,Comedy Drama Romance,7.4
19,The Perks of Being a Wallflower,2012,Drama Romance,8.0
20,Edward Scissorhands,1990,Drama Fantasy Romance,7.9
21,Love Actually,2003,Comedy Drama Romance,7.6
22,The Terminal,2004,Comedy Drama Romance,7.4
23,The Theory of Everything,2014,Biography Drama Romance,7.7
24,The 40-Year-Old Virgin,2005,Comedy Romance,7.1
25,Midnight in Paris,2011,Comedy Fantasy Romance,7.7
26,Modern Family,2009,Comedy Drama Romance,8.4
27,The Fault in Our Stars,2014,Drama Romance,7.7
28,A Star Is Born,2018,Drama Music Romance,7.6
29,Brokeback Mountain,2005,Drama Romance,7.7
30,Up in the Air,2009,Comedy Drama Romance,7.4
31,Moonrise Kingdom,2012,Comedy Drama Romance,7.8
32,50/50,2011,Comedy Drama Romance,7.6
33,10 Things I Hate About You,1999,Comedy Drama Romance,7.3
34,There's Something About Mary,1998,Comedy Romance,7.1
35,Pitch Perfect,2012,Comedy Music Romance,7.1
36,As Good as It Gets,1997,Comedy Drama Romance,7.7
37,Notting Hill,1999,Comedy Drama Romance,7.1
38,Before Sunrise,1995,Drama Romance,8.1
39,Moulin Rouge!,2001,Drama Musical Romance,7.6
40,Forgetting Sarah Marshall,2008,Comedy Drama Romance,7.1
41,Pride & Prejudice,2005,Drama Romance,7.8
42,Annie Hall,1977,Comedy Romance,8.0
43,Atonement,2007,Drama Mystery Romance,7.8
44,Grey's Anatomy,2005,Drama Romance,7.6
45,Jerry Maguire,1996,Comedy Drama Romance,7.3
46,Vicky Cristina Barcelona,2008,Comedy Drama Romance,7.1
47,Marriage Story,2019,Comedy Drama Romance,8.0
48,Grease,1978,Musical Romance,7.2
49,Before Sunset,2004,Drama Romance,8.1
50,The Artist,2011,Comedy Drama Romance,7.9
51,The Reader,2008,Drama Romance,7.6
52,The Fountain,2006,Drama Mystery Romance,7.2
53,The Lobster,2015,Comedy Drama Romance,7.2
54,Mr. Nobody,2009,Drama Fantasy Romance,7.8
55,Meet Joe Black,1998,Drama Fantasy Romance,7.2
56,Call Me by Your Name,2017,Drama Romance,7.9
57,Once Upon a Time,2011,Adventure Fantasy Romance,7.7
58,Garden State,2004,Comedy Drama Romance,7.4
59,Me Before You,2016,Drama Romance,7.4
60,True Romance,1993,Crime Drama Romance,7.9
61,Match Point,2005,Drama Romance Thriller,7.6
62,Closer,2004,Drama Romance,7.2
63,A Walk to Remember,2002,Drama Romance,7.4
64,Ghost,1990,Drama Fantasy Romance,7.1
65,Revolutionary Road,2008,Drama Romance,7.3
66,When Harry Met Sally...,1989,Comedy Drama Romance,7.6
67,The Secret in Their Eyes,2009,Drama Mystery Romance,8.2
68,Blue Valentine,2010,Drama Romance,7.4
69,Sideways,2004,Comedy Drama Romance,7.5
70,The English Patient,1996,Drama Romance War,7.4
71,Chocolat,2000,Drama Romance,7.2
72,Rushmore,1998,Comedy Drama Romance,7.7
73,The Danish Girl,2015,Biography Drama Romance,7.1
74,Downton Abbey,2010,Drama Romance,8.7
75,"Definitely, Maybe",2008,Comedy Drama Romance,7.1
76,The Age of Adaline,2015,Drama Fantasy Romance,7.2
77,That '70s Show,1998,Comedy Romance,8.1
78,Gossip Girl,2007,Drama Romance,7.4
79,Pretty Little Liars,2010,Drama Mystery Romance,7.4
80,Legends of the Fall,1994,Drama Romance War,7.5
81,Punch-Drunk Love,2002,Comedy Drama Romance,7.3
82,The Spectacular Now,2013,Comedy Drama Romance,7.1
83,The Virgin Suicides,1999,Drama Romance,7.2
84,Allied,2016,Action Drama Romance,7.1
85,The Time Traveler's Wife,2009,Drama Fantasy Romance,7.1
86,Before Midnight,2013,Drama Romance,7.9
87,Four Weddings and a Funeral,1994,Comedy Drama Romance,7.1
88,You,2018,Crime Drama Romance,7.7
89,Blue Is the Warmest Colour,2013,Drama Romance,7.7
90,Memoirs of a Geisha,2005,Drama Romance,7.4
91,Remember Me,2010,Drama Romance,7.1
92,Lars and the Real Girl,2007,Comedy Drama Romance,7.3
93,Good Bye Lenin!,2003,Comedy Drama Romance,7.7
94,Never Let Me Go,2010,Drama Romance Sci-Fi,7.1
95,Little Women,2019,Drama Romance,7.8
96,It's Kind of a Funny Story,2010,Comedy Drama Romance,7.1
97,Chasing Amy,1997,Comedy Drama Romance,7.2
98,The Constant Gardener,2005,Drama Mystery Romance,7.4
99,Manhattan,1979,Comedy Drama Romance,7.9
100,Brooklyn,2015,Drama Romance,7.5
101,A Bronx Tale,1993,Crime Drama Romance,7.8
102,The Hours,2002,Drama Romance,7.5
103,In the Mood for Love,2000,Drama Romance,8.1
104,"Love, Rosie",2014,Comedy Romance,7.2
105,Outlander,2014,Drama Fantasy Romance,8.4
106,The Big Sick,2017,Comedy Drama Romance,7.5
107,The Phantom of the Opera,2004,Drama Musical Romance,7.2
108,Mallrats,1995,Comedy Romance,7.1
109,Smallville,2001,Adventure Drama Romance,7.5
110,I Origins,2014,Drama Mystery Romance,7.4
111,Carol,2015,Drama Romance,7.2
112,Leaving Las Vegas,1995,Drama Romance,7.5
113,The Handmaiden,2016,Drama Romance Thriller,8.1
114,The Dreamers,2003,Drama Romance,7.2
115,Once,2007,Drama Music Romance,7.8
116,Phantom Thread,2017,Drama Romance,7.5
117,Dil Bechara,2020,Comedy Drama Romance,7.9
118,A Single Man,2009,Drama Romance,7.6
119,Little Children,2006,Drama Romance,7.5
120,Sex and the City,1998,Comedy Drama Romance,7.1
121,Sixteen Candles,1984,Comedy Romance,7.1
